Year,Host,Match,Datetime,Stage,City,Home_Team,Home Team Goals,Away Team Goals,Total Goals,Away _Team,Attendance,Home Team Initials,Away Team Initials
1962,Chile,7,31 May 1962 - 15:00 ,Group,Rancagua ,Hungary,2,1,3,England,7938,HUN,ENG
1962,Chile,8,31 May 1962 - 15:00 ,Group,Santiago De Chile ,Germany FR,0,0,0,Italy,65440,FRG,ITA
1962,Chile,9,02 Jun 1962 - 15:00 ,Group,Arica ,Yugoslavia,3,1,4,Uruguay,8829,YUG,URU
1962,Chile,10,02 Jun 1962 - 15:00 ,Group,Vina Del Mar ,Brazil,0,0,0,Czechoslovakia,14903,BRA,TCH
1962,Chile,11,02 Jun 1962 - 15:00 ,Group,Rancagua ,England,3,1,4,Argentina,9794,ENG,ARG
1962,Chile,12,02 Jun 1962 - 15:00 ,Group,Santiago De Chile ,Chile,2,0,2,Italy,66057,CHI,ITA
1962,Chile,13,03 Jun 1962 - 15:00 ,Group,Arica ,Soviet Union,4,4,8,Colombia,8040,URS,COL
1962,Chile,14,03 Jun 1962 - 15:00 ,Group,Vina Del Mar ,Spain,1,0,1,Mexico,11875,ESP,MEX
1962,Chile,15,03 Jun 1962 - 15:00 ,Group,Rancagua ,Hungary,6,1,7,Bulgaria,7442,HUN,BUL
1962,Chile,16,03 Jun 1962 - 15:00 ,Group,Santiago De Chile ,Germany FR,2,1,3,Switzerland,64922,FRG,SUI
1962,Chile,17,06 Jun 1962 - 15:00 ,Group,Arica ,Soviet Union,2,1,3,Uruguay,9973,URS,URU
1962,Chile,18,06 Jun 1962 - 15:00 ,Group,Vina Del Mar ,Brazil,2,1,3,Spain,18715,BRA,ESP
1962,Chile,19,06 Jun 1962 - 15:00 ,Group,Rancagua ,Hungary,0,0,0,Argentina,7945,HUN,ARG
1962,Chile,20,06 Jun 1962 - 15:00 ,Group,Santiago De Chile ,Germany FR,2,0,2,Chile,67224,FRG,CHI
1962,Chile,21,07 Jun 1962 - 15:00 ,Group,Arica ,Yugoslavia,5,0,5,Colombia,7167,YUG,COL
1962,Chile,22,07 Jun 1962 - 15:00 ,Group,Vina Del Mar ,Mexico,3,1,4,Czechoslovakia,10648,MEX,TCH
1962,Chile,23,07 Jun 1962 - 15:00 ,Group,Rancagua ,England,0,0,0,Bulgaria,5700,ENG,BUL
1962,Chile,24,07 Jun 1962 - 15:00 ,Group,Santiago De Chile ,Italy,3,0,3,Switzerland,59828,ITA,SUI
1962,Chile,25,10 Jun 1962 - 14:30 ,Quarter-finals,Arica ,Chile,2,1,3,Soviet Union,17268,CHI,URS
1962,Chile,26,10 Jun 1962 - 14:30 ,Quarter-finals,Vina Del Mar ,Brazil,3,1,4,England,17736,BRA,ENG
1962,Chile,27,10 Jun 1962 - 14:30 ,Quarter-finals,Rancagua ,Czechoslovakia,1,0,1,Hungary,11690,TCH,HUN
1962,Chile,28,10 Jun 1962 - 14:30 ,Quarter-finals,Santiago De Chile ,Yugoslavia,1,0,1,Germany FR,63324,YUG,FRG
1962,Chile,29,13 Jun 1962 - 14:30 ,Semi-finals,Vina Del Mar ,Czechoslovakia,3,1,4,Yugoslavia,5890,TCH,YUG
1962,Chile,30,13 Jun 1962 - 14:30 ,Semi-finals,Santiago De Chile ,Brazil,4,2,6,Chile,76594,BRA,CHI
1962,Chile,31,16 Jun 1962 - 14:30 ,Match for third place,Santiago De Chile ,Chile,1,0,1,Yugoslavia,66697,CHI,YUG
1962,Chile,32,17 Jun 1962 - 14:30 ,Final,Santiago De Chile ,Brazil,3,1,4,Czechoslovakia,68679,BRA,TCH
1966,England,1,11 Jul 1966 - 19:30 ,Group,London ,England,0,0,0,Uruguay,87148,ENG,URU
1966,England,2,12 Jul 1966 - 19:30 ,Group,Sheffield ,Germany FR,5,0,5,Switzerland,36127,FRG,SUI
1966,England,3,12 Jul 1966 - 19:30 ,Group,Liverpool ,Brazil,2,0,2,Bulgaria,47308,BRA,BUL
1966,England,4,12 Jul 1966 - 19:30 ,Group,Middlesbrough ,Soviet Union,3,0,3,Korea DPR,23006,URS,PRK
1966,England,5,13 Jul 1966 - 19:30 ,Group,London ,France,1,1,2,Mexico,69237,FRA,MEX
1966,England,6,13 Jul 1966 - 19:30 ,Group,Manchester ,Portugal,3,1,4,Hungary,29886,POR,HUN
1966,England,7,13 Jul 1966 - 19:30 ,Group,Birmingham ,Argentina,2,1,3,Spain,42738,ARG,ESP
1966,England,8,13 Jul 1966 - 19:30 ,Group,Sunderland ,Italy,2,0,2,Chile,27199,ITA,CHI
1966,England,9,15 Jul 1966 - 19:30 ,Group,London ,Uruguay,2,1,3,France,45662,URU,FRA
1966,England,10,15 Jul 1966 - 19:30 ,Group,Sheffield ,Spain,2,1,3,Switzerland,32028,ESP,SUI
1966,England,11,15 Jul 1966 - 19:30 ,Group,Liverpool ,Hungary,3,1,4,Brazil,51387,HUN,BRA
1966,England,12,15 Jul 1966 - 19:30 ,Group,Middlesbrough ,Korea DPR,1,1,2,Chile,13792,PRK,CHI
1966,England,13,16 Jul 1966 - 15:00 ,Group,Manchester ,Portugal,3,0,3,Bulgaria,25438,POR,BUL
1966,England,14,16 Jul 1966 - 15:00 ,Group,Birmingham ,Germany FR,0,0,0,Argentina,46587,FRG,ARG
1966,England,15,16 Jul 1966 - 15:00 ,Group,Sunderland ,Soviet Union,1,0,1,Italy,27793,URS,ITA
1966,England,16,16 Jul 1966 - 19:30 ,Group,London ,England,2,0,2,Mexico,92570,ENG,MEX
1966,England,17,19 Jul 1966 - 16:30 ,Group,London ,Uruguay,0,0,0,Mexico,61112,URU,MEX
1966,England,18,19 Jul 1966 - 19:30 ,Group,Sheffield ,Argentina,2,0,2,Switzerland,32127,ARG,SUI
1966,England,19,19 Jul 1966 - 19:30 ,Group,Liverpool ,Portugal,3,1,4,Brazil,58479,POR,BRA
1966,England,20,19 Jul 1966 - 19:30 ,Group,Middlesbrough ,Korea DPR,1,0,1,Italy,17829,PRK,ITA
1966,England,21,20 Jul 1966 - 19:30 ,Group,London ,England,2,0,2,France,98270,ENG,FRA
1966,England,22,20 Jul 1966 - 19:30 ,Group,Manchester ,Hungary,3,1,4,Bulgaria,24129,HUN,BUL
1966,England,23,20 Jul 1966 - 19:30 ,Group,Birmingham ,Germany FR,2,1,3,Spain,42187,FRG,ESP
1966,England,24,20 Jul 1966 - 19:30 ,Group,Sunderland ,Soviet Union,2,1,3,Chile,16027,URS,CHI
1966,England,25,23 Jul 1966 - 15:00 ,Quarter-finals,London ,England,1,0,1,Argentina,90584,ENG,ARG
1966,England,26,23 Jul 1966 - 15:00 ,Quarter-finals,Sheffield ,Germany FR,4,0,4,Uruguay,40007,FRG,URU
1966,England,27,23 Jul 1966 - 15:00 ,Quarter-finals,Sunderland ,Soviet Union,2,1,3,Hungary,26844,URS,HUN
1966,England,28,23 Jul 1966 - 15:00 ,Quarter-finals,Liverpool ,Portugal,5,3,8,Korea DPR,40248,POR,PRK
1966,England,29,25 Jul 1966 - 19:30 ,Semi-finals,Liverpool ,Germany FR,2,1,3,Soviet Union,38273,FRG,URS
1966,England,30,26 Jul 1966 - 19:30 ,Semi-finals,London ,England,2,1,3,Portugal,94493,ENG,POR
1966,England,31,28 Jul 1966 - 19:30 ,Match for third place,London ,Portugal,2,1,3,Soviet Union,87696,POR,URS
1966,England,32,30 Jul 1966 - 15:00 ,Final,London ,England,4,2,6,Germany FR,96924,ENG,FRG
1970,Mexico,1,31 May 1970 - 12:00 ,Group,Mexico City ,Mexico,0,0,0,Soviet Union,107160,MEX,URS
1970,Mexico,2,02 Jun 1970 - 16:00 ,Group,Puebla ,Uruguay,2,0,2,Israel,20654,URU,ISR
1970,Mexico,3,02 Jun 1970 - 16:00 ,Group,Leon ,Peru,3,2,5,Bulgaria,13765,PER,BUL
1970,Mexico,4,02 Jun 1970 - 16:00 ,Group,Guadalajara ,England,1,0,1,Romania,50560,ENG,ROU
1970,Mexico,5,03 Jun 1970 - 16:00 ,Group,Toluca ,Italy,1,0,1,Sweden,13433,ITA,SWE
1970,Mexico,6,03 Jun 1970 - 16:00 ,Group,Leon ,Germany FR,2,1,3,Morocco,12942,FRG,MAR
1970,Mexico,7,03 Jun 1970 - 16:00 ,Group,Guadalajara ,Brazil,4,1,5,Czechoslovakia,52897,BRA,TCH
1970,Mexico,8,03 Jun 1970 - 16:00 ,Group,Mexico City ,Belgium,3,0,3,El Salvador,92205,BEL,SLV
1970,Mexico,9,06 Jun 1970 - 16:00 ,Group,Puebla ,Uruguay,0,0,0,Italy,29968,URU,ITA
1970,Mexico,10,06 Jun 1970 - 16:00 ,Group,Leon ,Peru,3,0,3,Morocco,13537,PER,MAR
1970,Mexico,11,06 Jun 1970 - 16:00 ,Group,Guadalajara ,Romania,2,1,3,Czechoslovakia,56818,ROU,TCH
1970,Mexico,12,06 Jun 1970 - 16:00 ,Group,Mexico City ,Soviet Union,4,1,5,Belgium,95261,URS,BEL
