Year,Datetime,Stage,City,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1970,06 Jun 1970 - 16:00 ,Group 3,Guadalajara ,Romania,2,Czechoslovakia,1
1970,06 Jun 1970 - 16:00 ,Group 1,Mexico City ,Soviet Union,4,Belgium,1
1970,07 Jun 1970 - 12:00 ,Group 2,Toluca ,Sweden,1,Israel,1
1970,07 Jun 1970 - 12:00 ,Group 4,Leon ,Germany FR,5,Bulgaria,2
1970,07 Jun 1970 - 12:00 ,Group 3,Guadalajara ,Brazil,1,England,0
1970,07 Jun 1970 - 12:00 ,Group 1,Mexico City ,Mexico,4,El Salvador,0
1970,10 Jun 1970 - 16:00 ,Group 2,Puebla ,Sweden,1,Uruguay,0
1970,10 Jun 1970 - 16:00 ,Group 4,Leon ,Germany FR,3,Peru,1
1970,10 Jun 1970 - 16:00 ,Group 3,Guadalajara ,Brazil,3,Romania,2
1970,10 Jun 1970 - 16:00 ,Group 1,Mexico City ,Soviet Union,2,El Salvador,0
1970,11 Jun 1970 - 16:00 ,Group 2,Toluca ,Italy,0,Israel,0
1970,11 Jun 1970 - 16:00 ,Group 4,Leon ,Bulgaria,1,Morocco,1
1970,11 Jun 1970 - 16:00 ,Group 3,Guadalajara ,England,1,Czechoslovakia,0
1970,11 Jun 1970 - 16:00 ,Group 1,Mexico City ,Mexico,1,Belgium,0
1970,14 Jun 1970 - 12:00 ,Quarter-finals,Toluca ,Italy,4,Mexico,1
1970,14 Jun 1970 - 12:00 ,Quarter-finals,Leon ,Germany FR,3,England,2
1970,14 Jun 1970 - 12:00 ,Quarter-finals,Guadalajara ,Brazil,4,Peru,2
1970,14 Jun 1970 - 12:00 ,Quarter-finals,Mexico City ,Uruguay,1,Soviet Union,0
1970,17 Jun 1970 - 16:00 ,Semi-finals,Guadalajara ,Brazil,3,Uruguay,1
1970,17 June 1970 - 16:00 ,Semi-finals,Mexico City ,Italy,4,Germany FR,3
1970,20 Jun 1970 - 16:00 ,Match for third place,Mexico City ,Germany FR,1,Uruguay,0
1970,21 Jun 1970 - 12:00 ,Final,Mexico City ,Brazil,4,Italy,1
1974,13 Jun 1974 - 17:00 ,Group 2,Frankfurt/Main ,Brazil,0,Yugoslavia,0
1974,14 Jun 1974 - 16:00 ,Group 1,Berlin West ,Germany FR,1,Chile,0
1974,14 Jun 1974 - 19:30 ,Group 1,Hamburg ,German DR,2,Australia,0
1974,14 Jun 1974 - 19:30 ,Group 2,Dortmund ,Zaire,0,Scotland,2
1974,15 Jun 1974 - 16:00 ,Group 3,Hanover ,Uruguay,0,Netherlands,2
1974,15 Jun 1974 - 16:00 ,Group 3,D�Sseldorf ,Sweden,0,Bulgaria,0
1974,15 Jun 1974 - 18:00 ,Group 4,Munich ,Italy,3,Haiti,1
1974,15 Jun 1974 - 18:00 ,Group 4,Stuttgart ,Poland,3,Argentina,2
1974,18 Jun 1974 - 16:00 ,Group 1,Hamburg ,Australia,0,Germany FR,3
1974,18 Jun 1974 - 19:30 ,Group 2,Frankfurt/Main ,Scotland,0,Brazil,0
1974,18 Jun 1974 - 19:30 ,Group 1,Berlin West ,Chile,1,German DR,1
1974,18 Jun 1974 - 19:30 ,Group 2,Gelsenkirchen ,Yugoslavia,9,Zaire,0
1974,19 Jun 1974 - 19:30 ,Group 3,Dortmund ,Netherlands,0,Sweden,0
1974,19 Jun 1974 - 19:30 ,Group 3,Hanover ,Bulgaria,1,Uruguay,1
1974,19 Jun 1974 - 19:30 ,Group 4,Munich ,Haiti,0,Poland,7
1974,19 Jun 1974 - 19:30 ,Group 4,Stuttgart ,Argentina,1,Italy,1
1974,22 Jun 1974 - 16:00 ,Group 2,Frankfurt/Main ,Scotland,1,Yugoslavia,1
1974,22 Jun 1974 - 16:00 ,Group 1,Berlin West ,Australia,0,Chile,0
1974,22 Jun 1974 - 16:00 ,Group 2,Gelsenkirchen ,Zaire,0,Brazil,3
1974,22 June 1974 - 19:30 ,Group 1,Hamburg ,German DR,1,Germany FR,0
1974,23 Jun 1974 - 16:00 ,Group 3,Dortmund ,Bulgaria,1,Netherlands,4
1974,23 Jun 1974 - 16:00 ,Group 4,Munich ,Argentina,4,Haiti,1
1974,23 Jun 1974 - 16:00 ,Group 3,D�Sseldorf ,Sweden,3,Uruguay,0
1974,23 Jun 1974 - 16:00 ,Group 4,Stuttgart ,Poland,2,Italy,1
1974,26 Jun 1974 - 16:00 ,Group B,D�Sseldorf ,Yugoslavia,0,Germany FR,2
1974,26 Jun 1974 - 19:30 ,Group A,Hanover ,Brazil,1,German DR,0
1974,26 Jun 1974 - 19:30 ,Group A,Gelsenkirchen ,Netherlands,4,Argentina,0
1974,26 Jun 1974 - 19:30 ,Group B,Stuttgart ,Sweden,0,Poland,1
1974,30 Jun 1974 - 16:00 ,Group A,Hanover ,Argentina,1,Brazil,2
1974,30 Jun 1974 - 16:00 ,Group B,Frankfurt/Main ,Poland,2,Yugoslavia,1
1974,30 Jun 1974 - 16:00 ,Group A,Gelsenkirchen ,German DR,0,Netherlands,2
1974,30 Jun 1974 - 19:30 ,Group B,D�Sseldorf ,Germany FR,4,Sweden,2
1974,03 Jul 1974 - 17:00 ,Group B,Frankfurt/Main ,Poland,0,Germany FR,1
1974,03 Jul 1974 - 19:30 ,Group A,Dortmund ,Netherlands,2,Brazil,0
1974,03 Jul 1974 - 19:30 ,Group A,Gelsenkirchen ,Argentina,1,German DR,1
1974,03 Jul 1974 - 19:30 ,Group B,D�Sseldorf ,Sweden,2,Yugoslavia,1
1974,06 Jul 1974 - 16:00 ,Match for third place,Munich ,Brazil,0,Poland,1
1974,07 July 1974 - 16:00 ,Final,Munich ,Netherlands,1,Germany FR,2
1978,01 Jun 1978 - 15:00 ,Group 2,Buenos Aires ,Germany FR,0,Poland,0
1978,02 Jun 1978 - 13:45 ,Group 1,Mar Del Plata ,Italy,2,France,1
1978,02 Jun 1978 - 16:45 ,Group 2,Rosario ,Tunisia,3,Mexico,1
1978,02 Jun 1978 - 19:15 ,Group 1,Buenos Aires ,Argentina,2,Hungary,1
1978,03 Jun 1978 - 13:45 ,Group 3,Mar Del Plata ,Sweden,1,Brazil,1
1978,03 Jun 1978 - 13:45 ,Group 3,Buenos Aires ,Austria,2,Spain,1
1978,03 Jun 1978 - 16:45 ,Group 4,Cordoba ,Peru,3,Scotland,1
1978,03 Jun 1978 - 16:45 ,Group 4,Mendoza ,Netherlands,3,IR Iran,0
1978,06 Jun 1978 - 13:45 ,Group 1,Mar Del Plata ,Italy,3,Hungary,1
1978,06 Jun 1978 - 16:45 ,Group 2,Rosario ,Poland,1,Tunisia,0
1978,06 Jun 1978 - 16:45 ,Group 2,Cordoba ,Germany FR,6,Mexico,0
1978,06 Jun 1978 - 19:15 ,Group 1,Buenos Aires ,Argentina,2,France,1
1978,07 Jun 1978 - 13:45 ,Group 3,Mar Del Plata ,Brazil,0,Spain,0
1978,07 Jun 1978 - 13:45 ,Group 3,Buenos Aires ,Austria,1,Sweden,0
1978,07 Jun 1978 - 16:45 ,Group 4,Cordoba ,Scotland,1,IR Iran,1
1978,07 Jun 1978 - 16:45 ,Group 4,Mendoza ,Netherlands,0,Peru,0
1978,10 Jun 1978 - 15:10 ,Group 1,Mar Del Plata ,France,3,Hungary,1
1978,10 Jun 1978 - 16:45 ,Group 2,Rosario ,Poland,3,Mexico,1
1978,10 Jun 1978 - 16:45 ,Group 2,Cordoba ,Germany FR,0,Tunisia,0
1978,10 Jun 1978 - 19:15 ,Group 1,Buenos Aires ,Italy,1,Argentina,0
1978,11 Jun 1978 - 13:45 ,Group 3,Mar Del Plata ,Brazil,1,Austria,0
1978,11 Jun 1978 - 13:45 ,Group 3,Buenos Aires ,Spain,1,Sweden,0
1978,11 Jun 1978 - 16:45 ,Group 4,Cordoba ,Peru,4,Iran,1
1978,11 Jun 1978 - 16:45 ,Group 4,Mendoza ,Scotland,3,Netherlands,2
1978,14 Jun 1978 - 13:45 ,Group A,Buenos Aires ,Germany FR,0,Italy,0
